"Date","IE 8.0","Chrome (all)","IE 7.0","Firefox 3.6","Firefox 5+","IE 9.0","IE 6.0","Firefox 3.5","Firefox 3.0","Safari 5.0","Firefox 4.0","Safari 5.1","Safari iPad","Safari 4.0","Firefox 2.0","Opera 11.6","Opera 9.6","Opera 10.6","Safari 6.0","Opera 11.5","Other"
2008-3,0.2,0.51,39.3,0,0,0,28.42,0,14.35,0,0,0,0,0,11.03,0,0,0,0,0,6.2
2008-4,0.74,1.07,41.09,0,0,0,26.02,0,19.32,0,0,0,0,0,5.47,0,1.14,0,0,0,5.14
2009-1,1.28,1.55,40.32,0,0,0,22.41,0,24.24,0,0,0,0,0.15,3.32,0,1.87,0,0,0,4.87
2009-2,6.39,2.45,33.56,0,0,0,21.14,0.01,26.71,0,0,0,0,0.65,2.38,0,2.24,0,0,0,4.46
2009-3,14.88,3.37,25.99,0,0,0,18.14,11.29,17.82,0,0,0,0,2.17,1.66,0,1.62,0,0,0,3.06
2009-4,19.46,4.78,22.49,0,0,0,14.76,19.96,10.65,0,0,0,0,3,1.19,0,0.52,0,0,0,3.19
2010-1,23.85,6.79,18.99,8.46,0,0,11.82,17.21,5,0,0,0,0,3.66,0.75,0,0.31,0,0,0,3.17
2010-2,26.92,8.64,16.23,20.54,0,0,9.8,7.05,3.31,0.33,0,0,0.05,3.48,0.53,0,0.21,0.01,0,0,2.92
2010-3,29.27,10.7,13.94,23.09,0,0.03,8.1,4.81,2.63,2.57,0.08,0,0.17,1.09,0.41,0,0.15,1.2,0,0,1.77
2010-4,29.56,13.54,11.85,25.09,0,0.32,6.36,3.25,1.92,3.34,0.43,0,0.27,0.68,0.32,0,0.1,1.42,0,0,1.54
2011-1,30.2,16.55,10.12,24.93,0,0.56,4.63,2.52,1.28,3.8,1.34,0,0.44,0.48,0.24,0,0.08,0.23,0,0,2.62
2011-2,29.01,19.42,6.74,13.49,0.92,4.34,3.9,1.66,0.9,3.81,11.93,0,0.61,0.34,0.18,0,0.05,0.11,0,0.02,2.57
2011-3,25.69,22.96,5.1,7.87,15.75,8.07,3.13,0.63,0.67,2.59,2.33,1.33,0.91,0.25,0.13,0,0.04,0.06,0,1.18,1.28
2011-4,23.34,25.95,4.19,5.48,18.12,10.13,2.17,0.47,0.48,1.59,0.96,2.71,1.25,0.21,0.11,0.32,0.03,0.04,0,1.24,1.19
2012-1,18.57,29.69,3.29,3.44,19.86,12.69,1.46,0.43,0.39,1.27,0.64,3.28,1.81,0.17,0.1,1.48,0.05,0.04,0,0.15,1.2
2012-2,14.28,32.13,1.83,2.09,21.65,15.89,0.8,0.37,0.31,1.03,0.47,3.49,2.25,0.14,0.08,1.28,0.05,0.03,0,0.08,1.75
2012-3,13.33,33.87,1.19,1.03,21.16,17.45,0.5,0.2,0.2,0.83,0.31,2.69,2.69,0.12,0.05,0.23,0.04,0.03,0.94,0.06,3.09
2012-4,12.05,35.62,0.88,0.69,20.9,17.68,0.43,0.13,0.15,0.74,0.23,2.09,2.96,0.1,0.04,0.11,0.02,0.02,1.86,0.04,3.26
2013-1,11.06,36.42,0.74,0.54,20.49,17.62,0.34,0.1,0.12,0.65,0.18,1.89,3.45,0.09,0.04,0.08,0.01,0.02,2.14,0.03,3.99
